severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row,planning_date,planning_bucket
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Name,,Client Walkthrough - Qualification software reference example,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Rollup Key,,Qualification Event 1,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Resource Group,,Platform Engineering,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Fix Version,,Qualification Event 1,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,% Complete,,50,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Total Story Points,,20,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Completed Story Points,,10,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Logged Hours,,18,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Story Point Ratio,,13.33,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Jira Target Start,,2026-09-21,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Jira Target End,,2026-11-09,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32,2026-09-21,Immediate
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Name,,Client Walkthrough - Deployment runner fixVersion example,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33,2026-05-25,Immediate
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Rollup Key,,Shared Services 2026,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33,2026-05-25,Immediate
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Resource Group,,Platform Engineering,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33,2026-05-25,Immediate
