severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row,planning_date,planning_bucket
Info,AddedEpic,DATA-3010,DATA-3010,DATA,Epic,Scale Rows - Data Platform - Metrics certification wave 11,Predecessors,,DATA-3007,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,104,2026-08-31,Immediate
Info,AddedEpic,DATA-3001,DATA-3001,DATA,Epic,Scale Rows - Data Platform - Pipeline observability wave 02,Predecessors,,DATA-3000,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,105,2026-06-29,Immediate
Info,AddedEpic,DATA-3020,DATA-3020,DATA,Epic,Scale Rows - Data Platform - Streaming ingestion wave 21,Predecessors,,DATA-3019,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,106,2026-05-18,Immediate
Info,AddedEpic,DATA-3011,DATA-3011,DATA,Epic,Scale Rows - Data Platform - Forecast data mart wave 12,Predecessors,,DATA-3010,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,107,2026-09-07,Immediate
Info,AddedEpic,DATA-3002,DATA-3002,DATA,Epic,Scale Rows - Data Platform - Metrics certification wave 03,Predecessors,,DATA-3001,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,108,2026-07-06,Immediate
Info,AddedEpic,DATA-3021,DATA-3021,DATA,Epic,Scale Rows - Data Platform - Retention model update wave 22,Predecessors,,DATA-3020,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,110,2026-05-25,Immediate
Info,AddedEpic,DATA-3012,DATA-3012,DATA,Epic,Scale Rows - Data Platform - Streaming ingestion wave 13,Predecessors,,DATA-3011,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,111,2026-09-14,Immediate
Info,AddedEpic,DATA-3003,DATA-3003,DATA,Epic,Scale Rows - Data Platform - Forecast data mart wave 04,Predecessors,,DATA-3002,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,112,2026-07-13,Immediate
Info,AddedEpic,DATA-3022,DATA-3022,DATA,Epic,Scale Rows - Data Platform - Quality rule expansion wave 23,Predecessors,,DATA-3021,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,115,2026-06-01,Immediate
Info,AddedEpic,DATA-3013,DATA-3013,DATA,Epic,Scale Rows - Data Platform - Retention model update wave 14,Predecessors,,DATA-3012,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,116,2026-09-21,Immediate
Info,AddedEpic,DATA-3004,DATA-3004,DATA,Epic,Scale Rows - Data Platform - Streaming ingestion wave 05,Predecessors,,DATA-3003,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,117,2026-07-20,Immediate
Info,AddedEpic,DATA-3023,DATA-3023,DATA,Epic,Scale Rows - Data Platform - Analytics contract cleanup wave 24,Predecessors,,DATA-3022,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,121,2026-06-08,Immediate
Info,AddedEpic,DATA-3014,DATA-3014,DATA,Epic,Scale Rows - Data Platform - Quality rule expansion wave 15,Predecessors,,DATA-3013,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,122,2026-09-28,Immediate
Info,AddedEpic,DATA-3005,DATA-3005,DATA,Epic,Scale Rows - Data Platform - Retention model update wave 06,Predecessors,,DATA-3004,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,123,2026-07-27,Immediate
Info,AddedEpic,DATA-3024,DATA-3024,DATA,Epic,Scale Rows - Data Platform - Warehouse model refresh wave 25,Predecessors,,DATA-3023,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,128,2026-06-15,Immediate
Info,AddedEpic,DATA-3015,DATA-3015,DATA,Epic,Scale Rows - Data Platform - Analytics contract cleanup wave 16,Predecessors,,DATA-3014,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,129,2026-10-05,Immediate
Info,AddedEpic,DATA-3006,DATA-3006,DATA,Epic,Scale Rows - Data Platform - Quality rule expansion wave 07,Predecessors,,DATA-3005,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,130,2026-08-03,Immediate
Info,AddedEpic,DATA-3025,DATA-3025,DATA,Epic,Scale Rows - Data Platform - Pipeline observability wave 26,Predecessors,,DATA-3024,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,136,2026-06-22,Immediate
Info,AddedEpic,DATA-3016,DATA-3016,DATA,Epic,Scale Rows - Data Platform - Warehouse model refresh wave 17,Predecessors,,DATA-3015,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,137,2026-10-12,Immediate
Info,AddedEpic,DATA-3007,DATA-3007,DATA,Epic,Scale Rows - Data Platform - Analytics contract cleanup wave 08,Predecessors,,DATA-3006,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,138,2026-08-10,Immediate
Info,AddedEpic,DATA-3026,DATA-3026,DATA,Epic,Scale Rows - Data Platform - Metrics certification wave 27,Predecessors,,DATA-3025,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,145,2026-06-29,Immediate
Info,AddedEpic,DATA-3017,DATA-3017,DATA,Epic,Scale Rows - Data Platform - Pipeline observability wave 18,Predecessors,,DATA-3016,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,146,2026-04-27,Immediate
Info,AddedEpic,DATA-3018,DATA-3018,DATA,Epic,Scale Rows - Data Platform - Metrics certification wave 19,Predecessors,,DATA-3017,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,155,2026-05-04,Immediate
Info,AddedEpic,DATA-3019,DATA-3019,DATA,Epic,Scale Rows - Data Platform - Forecast data mart wave 20,Predecessors,,DATA-3018,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,164,2026-05-11,Immediate
