severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Info,MultiFixVersionSplit,OPS-5019,OPS-5019,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Fix versions,,"Qualification Event 2, Shop Deliverable B",,Split scheduled row created under fixVersion 'Qualification Event 2'. Each split row can drive the Project schedule.,Confirm this epic should drive schedule dates under each listed fixVersion.,34
Info,MultiFixVersionSplit,OPS-5019,OPS-5019::FV::SHOP-DELIVERABLE-B::418F26A7,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Fix versions,,"Qualification Event 2, Shop Deliverable B",,Split scheduled row created under fixVersion 'Shop Deliverable B'. Each split row can drive the Project schedule.,Confirm this epic should drive schedule dates under each listed fixVersion.,34
Info,ChangedField,OPS-5019,OPS-5019,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,% Complete,16,20,changed_cell,% Complete changed from '16' to '20'.,Review the changed sandbox cell.,34
Info,ChangedField,OPS-5019,OPS-5019,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Total Story Points,19,20,changed_cell,Total Story Points changed from '19' to '20'.,Review the changed sandbox cell.,34
Info,ChangedField,OPS-5019,OPS-5019,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Completed Story Points,3,4,changed_cell,Completed Story Points changed from '3' to '4'.,Review the changed sandbox cell.,34
Info,ChangedField,OPS-5019,OPS-5019,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Logged Hours,14.5,18,changed_cell,Logged Hours changed from '14.5' to '18'.,Review the changed sandbox cell.,34
Info,ChangedField,OPS-5019,OPS-5019,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Hours Accuracy %,22.9,28.1,changed_cell,Hours Accuracy % changed from '22.9' to '28.1'.,Review the changed sandbox cell.,34
Info,AddedEpic,OPS-5019,OPS-5019::FV::SHOP-DELIVERABLE-B::418F26A7,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Schedule Key,,OPS-5019::FV::SHOP-DELIVERABLE-B::418F26A7,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,34
Info,AddedEpic,OPS-5019,OPS-5019::FV::SHOP-DELIVERABLE-B::418F26A7,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Name,,Client Walkthrough - Shop deliverable split fixVersion example,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,34
Info,AddedEpic,OPS-5019,OPS-5019::FV::SHOP-DELIVERABLE-B::418F26A7,OPS,Epic,Client Walkthrough - Shop deliverable split fixVersion example,Rollup Key,,Shop Deliverable B,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,34
